iteration,before,after,diff
0,917109105,917109198,93
1,917119498,917119558,60
2,917119973,917119993,20
3,917120232,917120253,21
4,917120476,917120496,20
5,917120719,917120739,20
6,917120969,917120988,19
7,917121213,917121234,21
8,917121458,917121478,20
9,917121704,917121724,20
10,917121953,917121973,20
11,917122248,917122269,21
12,917122498,917122518,20
13,917122744,917122764,20
14,917122990,917123010,20
15,917123236,917123256,20
16,917123483,917123502,19
17,917123731,917123751,20
18,917123977,917123998,21
19,917124222,917124243,21
20,917124470,917124490,20
21,917124715,917124735,20
22,917124963,917124983,20
23,917125210,917125230,20
24,917125457,917125477,20
25,917125705,917125725,20
26,917125951,917125971,20
27,917126198,917126218,20
28,917126444,917126464,20
29,917126690,917126710,20
30,917126936,917126956,20
31,917127183,917127202,19
32,917127432,917127452,20
33,917127679,917127699,20
34,917127925,917127946,21
35,917128173,917128192,19
36,917128420,917128440,20
37,917128666,917128686,20
38,917128913,917128934,21
39,917129160,917129180,20
40,917129409,917129428,19
41,917129655,917129675,20
42,917129900,917129921,21
43,917130149,917130169,20
44,917130395,917130415,20
45,917130641,917130662,21
46,917130888,917130907,19
47,917131133,917131153,20
48,917131379,917131399,20
49,917131623,917131644,21
50,917131870,917131891,21
51,917132116,917132136,20
52,917132363,917132383,20
53,917132608,917132628,20
54,917132855,917132875,20
55,917133101,917133120,19
56,917133347,917133367,20
57,917133593,917133612,19
58,917133838,917133859,21
59,917134084,917134105,21
60,917134331,917134351,20
61,917134577,917134597,20
62,917134823,917134843,20
63,917135070,917135090,20
64,917135316,917135336,20
65,917135562,917135582,20
66,917135808,917135828,20
67,917136055,917136074,19
68,917136301,917136322,21
69,917136548,917136568,20
70,917136794,917136814,20
71,917137040,917137060,20
72,917137287,917137307,20
73,917137533,917137553,20
74,917137779,917137799,20
75,917138025,917138045,20
76,917138271,917138292,21
77,917138517,917138537,20
78,917138764,917138784,20
79,917139009,917139029,20
80,917139256,917139276,20
81,917139501,917139521,20
82,917139748,917139768,20
83,917139993,917140014,21
84,917140240,917140260,20
85,917140486,917140506,20
86,917140732,917140752,20
87,917140978,917140998,20
88,917141224,917141244,20
89,917141470,917141490,20
90,917141715,917141735,20
91,917141961,917141981,20
92,917142207,917142227,20
93,917142453,917142473,20
94,917142699,917142719,20
95,917142944,917142964,20
96,917143191,917143211,20
97,917143435,917143455,20
98,917143682,917143702,20
99,917143928,917143947,19
100,917144174,917144194,20
101,917144459,917144479,20
102,917144717,917144738,21
103,917144974,917144994,20
104,917145229,917145249,20
105,917145477,917145497,20
106,917145722,917145742,20
107,917145970,917145990,20
108,917146216,917146236,20
109,917146462,917146483,21
110,917146708,917146729,21
111,917146955,917146976,21
112,917147203,917147223,20
113,917147450,917147470,20
114,917147696,917147716,20
115,917147942,917147962,20
116,917148189,917148209,20
117,917148435,917148455,20
118,917148681,917148701,20
119,917148927,917148948,21
120,917149174,917149193,19
121,917149420,917149440,20
122,917149666,917149686,20
123,917149912,917149933,21
124,917150159,917150179,20
125,917150405,917150425,20
126,917150651,917150671,20
127,917150897,917150916,19
128,917151142,917151163,21
129,917151389,917151409,20
130,917151635,917151653,18
131,917151879,917151900,21
132,917152130,917152149,19
133,917152375,917152396,21
134,917152622,917152642,20
135,917152868,917152888,20
136,917153114,917153134,20
137,917153360,917153380,20
138,917153607,917153627,20
139,917153852,917153872,20
140,917154098,917154118,20
141,917154344,917154364,20
142,917154590,917154609,19
143,917154835,917154856,21
144,917155082,917155102,20
145,917155328,917155348,20
146,917155575,917155594,19
147,917155820,917155840,20
148,917156067,917156086,19
149,917156314,917156334,20
150,917156560,917156580,20
151,917156807,917156827,20
152,917157052,917157072,20
153,917157299,917157319,20
154,917157544,917157564,20
155,917178613,917178640,27
156,917178920,917178940,20
157,917179170,917179190,20
158,917179422,917179442,20
159,917179673,917179693,20
160,917179918,917179939,21
161,917180164,917180184,20
162,917180410,917180430,20
163,917180654,917180674,20
164,917180900,917180919,19
165,917181146,917181166,20
166,917181390,917181410,20
167,917181636,917181656,20
168,917181881,917181900,19
169,917182127,917182146,19
170,917182372,917182392,20
171,917182618,917182637,19
172,917182863,917182882,19
173,917183107,917183128,21
174,917183352,917183372,20
175,917183599,917183619,20
176,917183846,917183865,19
177,917184092,917184112,20
178,917184336,917184356,20
179,917184580,917184601,21
180,917184826,917184845,19
181,917185071,917185092,21
182,917185318,917185337,19
183,917185563,917185583,20
184,917185809,917185829,20
185,917186053,917186073,20
186,917186309,917186329,20
187,917186557,917186577,20
188,917186801,917186821,20
189,917187046,917187066,20
190,917187290,917187310,20
191,917187534,917187553,19
192,917187777,917187797,20
193,917188020,917188040,20
194,917188265,917188285,20
195,917188509,917188529,20
196,917188753,917188774,21
197,917188998,917189018,20
198,917189243,917189263,20
199,917189487,917189507,20
200,917189730,917189751,21
201,917189975,917189996,21
202,917190219,917190239,20
203,917190465,917190485,20
204,917190708,917190728,20
205,917190953,917190974,21
206,917191197,917191218,21
207,917191441,917191462,21
208,917191687,917191707,20
209,917191931,917191951,20
210,917192175,917192195,20
211,917192419,917192439,20
212,917192664,917192685,21
213,917192908,917192928,20
214,917193152,917193172,20
215,917193397,917193417,20
216,917193642,917193662,20
217,917193886,917193907,21
218,917194130,917194150,20
219,917194375,917194395,20
220,917194619,917194639,20
221,917194863,917194884,21
222,917195108,917195128,20
223,917195353,917195373,20
224,917195597,917195617,20
225,917195843,917195863,20
226,917196086,917196106,20
227,917196331,917196350,19
228,917196575,917196595,20
229,917196824,917196844,20
230,917197069,917197090,21
231,917197315,917197335,20
232,917197560,917197581,21
233,917197804,917197824,20
234,917198050,917198070,20
235,917198294,917198314,20
236,917198539,917198559,20
237,917198783,917198803,20
238,917199028,917199048,20
239,917199273,917199293,20
240,917199521,917199541,20
241,917199767,917199788,21
242,917200013,917200033,20
243,917200259,917200280,21
244,917200506,917200526,20
245,917200752,917200772,20
246,917200998,917201019,21
247,917201245,917201265,20
248,917201492,917201511,19
249,917201738,917201758,20
250,917201985,917202005,20
251,917202230,917202251,21
252,917202477,917202497,20
253,917202722,917202743,21
254,917202968,917202989,21
255,917203216,917203236,20
256,917203461,917203482,21
257,917203708,917203728,20
258,917203954,917203974,20
259,917204200,917204220,20
260,917204446,917204466,20
261,917204692,917204712,20
262,917204938,917204959,21
263,917205184,917205204,20
264,917205429,917205449,20
265,917205681,917205701,20
266,917205927,917205948,21
267,917206172,917206192,20
268,917206419,917206439,20
269,917206666,917206686,20
270,917206912,917206932,20
271,917207159,917207179,20
272,917207404,917207424,20
273,917207650,917207670,20
274,917207895,917207916,21
275,917208141,917208161,20
276,917208387,917208407,20
277,917208633,917208653,20
278,917208879,917208899,20
279,917209124,917209145,21
280,917209370,917209390,20
281,917209617,917209637,20
282,917209868,917209888,20
283,917210114,917210135,21
284,917210364,917210383,19
285,917210610,917210629,19
286,917210855,917210875,20
287,917211100,917211120,20
288,917211346,917211366,20
289,917211592,917211612,20
290,917211838,917211859,21
291,917212084,917212104,20
292,917212330,917212351,21
293,917212576,917212595,19
294,917212820,917212841,21
295,917213066,917213087,21
296,917213312,917213332,20
297,917213557,917213577,20
298,917213803,917213823,20
299,917214048,917214069,21
300,917214294,917214313,19
301,917214539,917214560,21
302,917214784,917214804,20
303,917215030,917215049,19
304,917215275,917215294,19
305,917215520,917215541,21
306,917215766,917215786,20
307,917222186,917222213,27
308,917222470,917222491,21
309,917222728,917222749,21
310,917222982,917223001,19
311,917223237,917223257,20
312,917223488,917223508,20
313,917223737,917223758,21
314,917223987,917224008,21
315,917224236,917224255,19
316,917224483,917224503,20
317,917224730,917224750,20
318,917224980,917224999,19
319,917225230,917225250,20
320,917225480,917225499,19
321,917225730,917225750,20
322,917225979,917226000,21
323,917226230,917226249,19
324,917226476,917226497,21
325,917226727,917226747,20
326,917226976,917226995,19
327,917227224,917227244,20
328,917227472,917227493,21
329,917227721,917227742,21
330,917227971,917227991,20
331,917228220,917228241,21
332,917228468,917228488,20
333,917228717,917228738,21
334,917228967,917228987,20
335,917229216,917229237,21
336,917229465,917229485,20
337,917229712,917229732,20
338,917229962,917229982,20
339,917230212,917230232,20
340,917230460,917230480,20
341,917230709,917230729,20
342,917230958,917230978,20
343,917231208,917231228,20
344,917231457,917231478,21
345,917231707,917231728,21
346,917231956,917231976,20
347,917232205,917232224,19
348,917232455,917232476,21
349,917232705,917232725,20
350,917232955,917232975,20
351,917233204,917233225,21
352,917233454,917233473,19
353,917233704,917233724,20
354,917233952,917233972,20
355,917234200,917234220,20
356,917234449,917234469,20
357,917234697,917234717,20
358,917234948,917234968,20
359,917235198,917235218,20
360,917235447,917235467,20
361,917235695,917235715,20
362,917235944,917235964,20
363,917236193,917236212,19
364,917236441,917236462,21
365,917236690,917236710,20
366,917236939,917236959,20
367,917237189,917237209,20
368,917237437,917237458,21
369,917237686,917237706,20
370,917237935,917237955,20
371,917238184,917238205,21
372,917238434,917238455,21
373,917238683,917238704,21
374,917238933,917238953,20
375,917239183,917239202,19
376,917239429,917239450,21
377,917239677,917239698,21
378,917239927,917239948,21
379,917240177,917240198,21
380,917240427,917240447,20
381,917240677,917240698,21
382,917240925,917240947,22
383,917241174,917241194,20
384,917241423,917241443,20
385,917241672,917241692,20
386,917241921,917241942,21
387,917242169,917242189,20
388,917242418,917242439,21
389,917242665,917242685,20
390,917242914,917242934,20
391,917243163,917243183,20
392,917243412,917243432,20
393,917243660,917243680,20
394,917243910,917243930,20
395,917244159,917244178,19
396,917244405,917244426,21
397,917244654,917244673,19
398,917244903,917244922,19
399,917245151,917245171,20
400,917245401,917245421,20
401,917245649,917245669,20
402,917245897,917245918,21
403,917246146,917246165,19
404,917246393,917246414,21
405,917246642,917246662,20
406,917246891,917246912,21
407,917247139,917247158,19
408,917247386,917247408,22
409,917247634,917247654,20
410,917247884,917247903,19
411,917248132,917248152,20
412,917248381,917248400,19
413,917248629,917248650,21
414,917248878,917248898,20
415,917249125,917249146,21
416,917249374,917249394,20
417,917249621,917249641,20
418,917249869,917249889,20
419,917250117,917250137,20
420,917250367,917250387,20
421,917250615,917250636,21
422,917250862,917250882,20
423,917251110,917251130,20
424,917251359,917251379,20
425,917251605,917251625,20
426,917251855,917251874,19
427,917252103,917252124,21
428,917252351,917252372,21
429,917252599,917252620,21
430,917252848,917252868,20
431,917253096,917253117,21
432,917253345,917253365,20
433,917253592,917253612,20
434,917253851,917253872,21
435,917254098,917254119,21
436,917254350,917254371,21
437,917254598,917254620,22
438,917254847,917254867,20
439,917255096,917255115,19
440,917255344,917255363,19
441,917255593,917255613,20
442,917255841,917255862,21
443,917256090,917256110,20
444,917256340,917256359,19
445,917256588,917256609,21
446,917256838,917256858,20
447,917257087,917257107,20
448,917257336,917257357,21
449,917257584,917257604,20
450,917257833,917257853,20
451,917258081,917258102,21
452,917258331,917258351,20
453,917258580,917258600,20
454,917258828,917258849,21
455,917259077,917259097,20
456,917259326,917259346,20
457,917259575,917259595,20
458,917259825,917259845,20
459,917264385,917264412,27
460,917264661,917264680,19
461,917264916,917264936,20
462,917265165,917265186,21
463,917265413,917265433,20
464,917265660,917265680,20
465,917265905,917265926,21
466,917266150,917266170,20
467,917266398,917266419,21
468,917266643,917266663,20
469,917266885,917266906,21
470,917267129,917267149,20
471,917267371,917267392,21
472,917267616,917267636,20
473,917267860,917267880,20
474,917268103,917268123,20
475,917268348,917268366,18
476,917268589,917268611,22
477,917268835,917268855,20
478,917269084,917269104,20
479,917269334,917269353,19
480,917269581,917269602,21
481,917269830,917269851,21
482,917270080,917270100,20
483,917270327,917270347,20
484,917270573,917270594,21
485,917270819,917270838,19
486,917271064,917271084,20
487,917271308,917271328,20
488,917271554,917271575,21
489,917271800,917271820,20
490,917272046,917272067,21
491,917272291,917272312,21
492,917272536,917272557,21
493,917272781,917272802,21
494,917273026,917273046,20
495,917273271,917273292,21
496,917273517,917273537,20
497,917273762,917273781,19
498,917274007,917274026,19
499,917274252,917274272,20
500,917274496,917274517,21
501,917274741,917274762,21
502,917274986,917275007,21
503,917275232,917275252,20
504,917275478,917275499,21
505,917275723,917275743,20
506,917275968,917275988,20
507,917276213,917276234,21
508,917276458,917276477,19
509,917276703,917276723,20
510,917276949,917276969,20
511,917277193,917277214,21
512,917277437,917277457,20
513,917277682,917277702,20
514,917277927,917277948,21
515,917278172,917278193,21
516,917278417,917278437,20
517,917278662,917278682,20
518,917278906,917278926,20
519,917279151,917279172,21
520,917279398,917279418,20
521,917279641,917279661,20
522,917279886,917279908,22
523,917280130,917280151,21
524,917280376,917280396,20
525,917280621,917280641,20
526,917280864,917280884,20
527,917281109,917281129,20
528,917281354,917281375,21
529,917281598,917281619,21
530,917281844,917281863,19
531,917282087,917282108,21
532,917282334,917282354,20
533,917282578,917282598,20
534,917282822,917282843,21
535,917283066,917283086,20
536,917283311,917283332,21
537,917283555,917283575,20
538,917283799,917283820,21
539,917284044,917284064,20
540,917284290,917284309,19
541,917284533,917284553,20
542,917284778,917284797,19
543,917285022,917285042,20
544,917285269,917285289,20
545,917285513,917285533,20
546,917285759,917285778,19
547,917286004,917286023,19
548,917286249,917286268,19
549,917286494,917286514,20
550,917286739,917286760,21
551,917286984,917287004,20
552,917287230,917287250,20
553,917287474,917287495,21
554,917287721,917287742,21
555,917287965,917287986,21
556,917288211,917288231,20
557,917288456,917288477,21
558,917288702,917288722,20
559,917288946,917288966,20
560,917289192,917289213,21
561,917289436,917289456,20
562,917289682,917289703,21
563,917289927,917289946,19
564,917290172,917290192,20
565,917290417,917290438,21
566,917290662,917290683,21
567,917290908,917290928,20
568,917291154,917291175,21
569,917291399,917291419,20
570,917291645,917291664,19
571,917291889,917291909,20
572,917292134,917292155,21
573,917292380,917292400,20
574,917292624,917292646,22
575,917292871,917292891,20
576,917293116,917293136,20
577,917293362,917293383,21
578,917293608,917293629,21
579,917293852,917293872,20
580,917294098,917294118,20
581,917294344,917294364,20
582,917294590,917294611,21
583,917294835,917294856,21
584,917295080,917295102,22
585,917295330,917295351,21
586,917295576,917295596,20
