iteration,before,after,diff
0,569919990,569920084,94
1,569927516,569927544,28
2,569927873,569927893,20
3,569928132,569928151,19
4,569928378,569928397,19
5,569928621,569928643,22
6,569928870,569928891,21
7,569929117,569929137,20
8,569929363,569929383,20
9,569929608,569929628,20
10,569929851,569929872,21
11,569930120,569930141,21
12,569930367,569930387,20
13,569930614,569930634,20
14,569930863,569930882,19
15,569931111,569931131,20
16,569931358,569931378,20
17,569931604,569931625,21
18,569931852,569931872,20
19,569932098,569932118,20
20,569932345,569932365,20
21,569932591,569932612,21
22,569932838,569932857,19
23,569933083,569933104,21
24,569933329,569933351,22
25,569933577,569933597,20
26,569933823,569933844,21
27,569934070,569934090,20
28,569934318,569934339,21
29,569934564,569934584,20
30,569934811,569934831,20
31,569935057,569935077,20
32,569935302,569935323,21
33,569935548,569935569,21
34,569935796,569935815,19
35,569936041,569936062,21
36,569936289,569936309,20
37,569936535,569936556,21
38,569936782,569936802,20
39,569937029,569937049,20
40,569937275,569937295,20
41,569937522,569937542,20
42,569937769,569937789,20
43,569938015,569938036,21
44,569938262,569938281,19
45,569938507,569938528,21
46,569938753,569938773,20
47,569938999,569939021,22
48,569939246,569939267,21
49,569939493,569939513,20
50,569939740,569939760,20
51,569939987,569940007,20
52,569940235,569940255,20
53,569940481,569940501,20
54,569940729,569940749,20
55,569940975,569940996,21
56,569941222,569941242,20
57,569941469,569941488,19
58,569941715,569941735,20
59,569941961,569941982,21
60,569942209,569942229,20
61,569942456,569942477,21
62,569942702,569942723,21
63,569942949,569942969,20
64,569943195,569943216,21
65,569943442,569943463,21
66,569943689,569943709,20
67,569943936,569943956,20
68,569944183,569944203,20
69,569944430,569944450,20
70,569944676,569944697,21
71,569944924,569944944,20
72,569945170,569945190,20
73,569945417,569945437,20
74,569945663,569945683,20
75,569945908,569945929,21
76,569946156,569946176,20
77,569946403,569946423,20
78,569946648,569946668,20
79,569946894,569946915,21
80,569947141,569947159,18
81,569947386,569947406,20
82,569947632,569947652,20
83,569947878,569947899,21
84,569948125,569948145,20
85,569948371,569948391,20
86,569948617,569948638,21
87,569948864,569948884,20
88,569949110,569949131,21
89,569949356,569949377,21
90,569949603,569949623,20
91,569949850,569949870,20
92,569950094,569950115,21
93,569950342,569950361,19
94,569950587,569950607,20
95,569950833,569950854,21
96,569951079,569951100,21
97,569951326,569951346,20
98,569951571,569951591,20
99,569951817,569951838,21
100,569952064,569952085,21
101,569952337,569952358,21
102,569952587,569952607,20
103,569952837,569952857,20
104,569953084,569953105,21
105,569953331,569953352,21
106,569953579,569953599,20
107,569953827,569953847,20
108,569954074,569954094,20
109,569954321,569954341,20
