iteration,before,after,diff
0,814969305,814969370,65
1,814974953,814974973,20
2,814975254,814975269,15
3,814975453,814975467,14
4,814975635,814975649,14
5,814975811,814975826,15
6,814975987,814976000,13
7,814976161,814976175,14
8,814976334,814976348,14
9,814976507,814976521,14
10,814976679,814976694,15
11,814976882,814976897,15
12,814977066,814977080,14
13,814977238,814977252,14
14,814977411,814977425,14
15,814977583,814977597,14
16,814977757,814977771,14
17,814977929,814977942,13
18,814978101,814978115,14
19,814978273,814978288,15
20,814978446,814978460,14
21,814978618,814978633,15
22,814978791,814978805,14
23,814978964,814978978,14
24,814979136,814979151,15
25,814979308,814979323,15
26,814979482,814979495,13
27,814979654,814979668,14
28,814979827,814979841,14
29,814979999,814980013,14
30,814980172,814980187,15
31,814980344,814980359,15
32,814980517,814980532,15
33,814980691,814980704,13
34,814980863,814980878,15
35,814981036,814981050,14
36,814981209,814981223,14
37,814981382,814981396,14
38,814981554,814981568,14
39,814981727,814981741,14
40,814981899,814981914,15
41,814982073,814982087,14
42,814982245,814982259,14
43,814982418,814982432,14
44,814982590,814982605,15
45,814982764,814982778,14
46,814982937,814982951,14
47,814983109,814983123,14
48,814983282,814983296,14
49,814983455,814983469,14
50,814983627,814983641,14
51,814983800,814983814,14
52,814983973,814983987,14
53,814984146,814984160,14
54,814984319,814984333,14
55,814984491,814984506,15
56,814984665,814984679,14
57,814984838,814984852,14
58,814985011,814985025,14
59,814985183,814985197,14
60,814985356,814985370,14
61,814985529,814985543,14
62,814985702,814985716,14
63,814985875,814985889,14
64,814986047,814986061,14
65,814986221,814986235,14
66,814986394,814986408,14
67,814986567,814986580,13
68,814986739,814986754,15
69,814986912,814986926,14
70,814987086,814987100,14
71,814987259,814987273,14
72,814987432,814987446,14
73,814987604,814987619,15
74,814987778,814987792,14
75,814987950,814987965,15
76,814988123,814988137,14
77,814988297,814988311,14
78,814988470,814988484,14
79,814988643,814988657,14
80,814988816,814988830,14
81,814988989,814989002,13
82,814989162,814989176,14
83,814989335,814989349,14
84,814989508,814989523,15
85,814989681,814989696,15
86,814989855,814989868,13
87,814990027,814990041,14
88,814990201,814990215,14
89,814990374,814990388,14
90,814990547,814990561,14
91,814990720,814990734,14
92,814990893,814990907,14
93,814991067,814991081,14
94,814991240,814991254,14
95,814991413,814991427,14
96,814991586,814991600,14
97,814991759,814991774,15
98,814991933,814991948,15
99,814992106,814992120,14
100,814992280,814992293,13
101,814992488,814992503,15
102,814992669,814992683,14
103,814992844,814992858,14
104,814993017,814993031,14
105,814993192,814993206,14
106,814993366,814993380,14
107,814993540,814993555,15
108,814993714,814993728,14
109,814993888,814993902,14
110,814994062,814994076,14
111,814994235,814994249,14
112,814994410,814994424,14
113,814994584,814994598,14
114,814994758,814994773,15
115,814994932,814994946,14
116,814995106,814995120,14
117,814995280,814995293,13
118,814995453,814995467,14
119,814995626,814995640,14
120,814995801,814995814,13
121,814995974,814995988,14
122,814996148,814996163,15
123,814996322,814996335,13
124,814996495,814996509,14
125,814996668,814996682,14
126,814996843,814996856,13
127,814997016,814997030,14
128,814997190,814997204,14
129,814997364,814997378,14
130,814997538,814997552,14
131,814997712,814997726,14
132,814997891,814997905,14
133,814998065,814998079,14
134,814998239,814998253,14
135,814998412,814998426,14
136,814998587,814998601,14
137,814998760,814998775,15
138,814998935,814998949,14
139,814999109,814999122,13
140,814999282,814999296,14
141,814999457,814999471,14
142,814999630,814999644,14
143,814999804,814999818,14
144,814999978,814999992,14
145,815000151,815000166,15
146,815000325,815000340,15
147,815000499,815000513,14
148,815000672,815000687,15
149,815000847,815000861,14
150,815001020,815001035,15
151,815001195,815001209,14
152,815001368,815001382,14
153,815001542,815001557,15
154,815001716,815001730,14
155,815011904,815011923,19
156,815012131,815012145,14
157,815012308,815012323,15
158,815012486,815012499,13
159,815012660,815012674,14
160,815012835,815012849,14
161,815013008,815013022,14
162,815013183,815013197,14
163,815013357,815013371,14
164,815013531,815013545,14
165,815013704,815013718,14
166,815013878,815013893,15
167,815014051,815014066,15
168,815014225,815014240,15
169,815014399,815014414,15
170,815014573,815014587,14
171,815014747,815014761,14
172,815014921,815014935,14
173,815015094,815015108,14
174,815015269,815015283,14
175,815015442,815015456,14
176,815015616,815015630,14
177,815015791,815015804,13
178,815015964,815015978,14
179,815016138,815016152,14
