iteration,before,after,diff
0,588908974,588909038,64
1,588916016,588916037,21
2,588916282,588916296,14
3,588916495,588916509,14
4,588916682,588916697,15
5,588916857,588916871,14
6,588917030,588917043,13
7,588917203,588917217,14
8,588917377,588917392,15
9,588917551,588917565,14
10,588917724,588917738,14
11,588917922,588917936,14
12,588918121,588918135,14
13,588918308,588918322,14
14,588918481,588918496,15
15,588918654,588918669,15
16,588918828,588918843,15
17,588919001,588919015,14
18,588919173,588919188,15
19,588919346,588919360,14
20,588919518,588919533,15
21,588919691,588919704,13
22,588919863,588919877,14
23,588920037,588920050,13
24,588920209,588920223,14
25,588920382,588920396,14
26,588920554,588920568,14
27,588920727,588920741,14
28,588920899,588920914,15
29,588921072,588921086,14
30,588921245,588921259,14
31,588921417,588921432,15
32,588921590,588921604,14
33,588921762,588921776,14
34,588921934,588921949,15
35,588922107,588922120,13
36,588922279,588922293,14
37,588922451,588922465,14
38,588922623,588922638,15
39,588922796,588922810,14
40,588922969,588922983,14
41,588923141,588923155,14
42,588923313,588923327,14
43,588923484,588923499,15
44,588923657,588923671,14
45,588923829,588923844,15
46,588924001,588924016,15
47,588924174,588924188,14
48,588924346,588924360,14
49,588924518,588924532,14
50,588924691,588924705,14
51,588924864,588924877,13
52,588925036,588925050,14
53,588925208,588925222,14
54,588925380,588925394,14
55,588925553,588925567,14
56,588925725,588925739,14
57,588925897,588925912,15
58,588926069,588926083,14
59,588926241,588926254,13
60,588926413,588926427,14
61,588926585,588926600,15
62,588926758,588926772,14
63,588926930,588926945,15
64,588927105,588927119,14
65,588927278,588927291,13
66,588927448,588927463,15
67,588927622,588927636,14
68,588927794,588927809,15
69,588927967,588927981,14
70,588928140,588928155,15
71,588928313,588928327,14
72,588928486,588928500,14
73,588928659,588928672,13
74,588928831,588928845,14
75,588929004,588929018,14
76,588929178,588929192,14
77,588929350,588929364,14
78,588929523,588929538,15
79,588929696,588929710,14
80,588929868,588929882,14
81,588930039,588930053,14
82,588930211,588930225,14
83,588930383,588930397,14
84,588930556,588930570,14
85,588930727,588930741,14
86,588930899,588930913,14
87,588931070,588931085,15
88,588931243,588931257,14
89,588931416,588931430,14
90,588931588,588931602,14
91,588931760,588931774,14
92,588931932,588931946,14
93,588932103,588932118,15
94,588932275,588932290,15
95,588932448,588932462,14
96,588932620,588932635,15
97,588932792,588932806,14
98,588932963,588932978,15
99,588933136,588933150,14
100,588933307,588933321,14
101,588933502,588933516,14
102,588933698,588933712,14
103,588933871,588933885,14
104,588934044,588934058,14
105,588934216,588934231,15
106,588934389,588934403,14
107,588934562,588934577,15
108,588934734,588934749,15
109,588934908,588934922,14
110,588935081,588935095,14
111,588935254,588935268,14
112,588935427,588935440,13
113,588935599,588935614,15
114,588935773,588935788,15
115,588935947,588935960,13
116,588936119,588936133,14
117,588936292,588936306,14
118,588936464,588936479,15
119,588936637,588936651,14
120,588936810,588936824,14
121,588936983,588936996,13
122,588937155,588937169,14
123,588937329,588937344,15
124,588937502,588937517,15
125,588937676,588937690,14
126,588937849,588937862,13
127,588938021,588938036,15
128,588938194,588938208,14
129,588938368,588938381,13
130,588938542,588938556,14
131,588938714,588938729,15
132,588938891,588938905,14
133,588939064,588939079,15
134,588939238,588939252,14
135,588939413,588939427,14
136,588939587,588939601,14
137,588939760,588939773,13
138,588939934,588939948,14
139,588940108,588940122,14
140,588940281,588940296,15
141,588940456,588940470,14
142,588940630,588940644,14
143,588940804,588940818,14
144,588940977,588940991,14
145,588941151,588941165,14
146,588941325,588941339,14
147,588941498,588941512,14
148,588941671,588941686,15
149,588941846,588941860,14
150,588942019,588942034,15
151,588942194,588942208,14
152,588942367,588942382,15
153,588942543,588942557,14
154,588942716,588942729,13
155,588952883,588952904,21
156,588953092,588953106,14
157,588953270,588953285,15
158,588953446,588953459,13
159,588953620,588953633,13
160,588953794,588953809,15
161,588953968,588953983,15
162,588954141,588954155,14
163,588954314,588954328,14
164,588954487,588954501,14
165,588954660,588954674,14
166,588954834,588954847,13
167,588955006,588955021,15
168,588955179,588955193,14
169,588955353,588955366,13
170,588955525,588955539,14
171,588955698,588955712,14
172,588955877,588955890,13
173,588956051,588956065,14
174,588956225,588956239,14
175,588956399,588956413,14
176,588956575,588956590,15
177,588956749,588956763,14
178,588956923,588956937,14
179,588957096,588957110,14
180,588957270,588957284,14
181,588957443,588957456,13
182,588957616,588957630,14
183,588957790,588957805,15
184,588957964,588957978,14
185,588958136,588958151,15
186,588958310,588958325,15
187,588958484,588958498,14
188,588958657,588958671,14
189,588958830,588958844,14
190,588959004,588959018,14
191,588959177,588959191,14
192,588959351,588959364,13
193,588959523,588959537,14
194,588959697,588959711,14
195,588959871,588959885,14
196,588960044,588960058,14
197,588960218,588960233,15
198,588960392,588960406,14
199,588960565,588960579,14
200,588960739,588960753,14
201,588960913,588960927,14
202,588961086,588961100,14
203,588961259,588961273,14
204,588961432,588961446,14
205,588961606,588961620,14
206,588961778,588961793,15
207,588961952,588961966,14
208,588962126,588962139,13
209,588962299,588962313,14
210,588962472,588962486,14
211,588962645,588962659,14
212,588962818,588962833,15
213,588962991,588963006,15
214,588963165,588963179,14
215,588963338,588963353,15
216,588963513,588963528,15
217,588963687,588963701,14
218,588963861,588963875,14
219,588964035,588964049,14
220,588964208,588964222,14
221,588964382,588964396,14
222,588964555,588964569,14
223,588964727,588964741,14
224,588964901,588964915,14
225,588965074,588965088,14
226,588965246,588965261,15
227,588965421,588965435,14
228,588965594,588965608,14
229,588965769,588965783,14
230,588965943,588965957,14
231,588966115,588966130,15
232,588966290,588966303,13
233,588966462,588966477,15
234,588966635,588966650,15
235,588966809,588966822,13
236,588966982,588966996,14
237,588967154,588967169,15
238,588967328,588967343,15
239,588967501,588967515,14
240,588967675,588967688,13
241,588967847,588967862,15
242,588968020,588968035,15
243,588968195,588968209,14
244,588968368,588968383,15
245,588968543,588968556,13
246,588968716,588968730,14
247,588968889,588968903,14
248,588969062,588969077,15
249,588969235,588969250,15
250,588969408,588969423,15
251,588969582,588969596,14
252,588969755,588969770,15
253,588969929,588969944,15
254,588970103,588970117,14
255,588970276,588970290,14
256,588970449,588970463,14
257,588970623,588970637,14
258,588970797,588970810,13
259,588970969,588970983,14
260,588971142,588971157,15
261,588971316,588971330,14
262,588971490,588971504,14
263,588971664,588971678,14
264,588971838,588971852,14
265,588972014,588972028,14
266,588972187,588972201,14
267,588972361,588972375,14
268,588972534,588972548,14
269,588972708,588972721,13
270,588972880,588972895,15
271,588973054,588973068,14
272,588973229,588973242,13
273,588973401,588973416,15
274,588973575,588973590,15
275,588973749,588973763,14
276,588973923,588973938,15
277,588974097,588974111,14
278,588974270,588974284,14
279,588974444,588974459,15
280,588974618,588974632,14
281,588974791,588974805,14
282,588974970,588974984,14
283,588975143,588975157,14
284,588975319,588975332,13
285,588975493,588975507,14
286,588975666,588975681,15
287,588975840,588975855,15
288,588976016,588976029,13
289,588976189,588976204,15
290,588976362,588976376,14
291,588976537,588976550,13
292,588976711,588976725,14
293,588976885,588976898,13
294,588977058,588977073,15
295,588977232,588977247,15
296,588977406,588977420,14
297,588977581,588977595,14
298,588977754,588977768,14
299,588977928,588977942,14
300,588978102,588978116,14
301,588978275,588978289,14
302,588978449,588978464,15
303,588978623,588978637,14
304,588978797,588978811,14
305,588978971,588978985,14
306,588979144,588979158,14
307,588983478,588983500,22
308,588983672,588983685,13
309,588983848,588983862,14
310,588984022,588984035,13
311,588984197,588984211,14
312,588984370,588984384,14
313,588984544,588984558,14
314,588984718,588984732,14
315,588984891,588984905,14
316,588985064,588985078,14
317,588985236,588985250,14
318,588985409,588985422,13
319,588985582,588985596,14
320,588985755,588985769,14
321,588985928,588985942,14
322,588986102,588986116,14
323,588986275,588986288,13
324,588986447,588986461,14
325,588986620,588986634,14
326,588986793,588986807,14
327,588986966,588986980,14
328,588987138,588987153,15
329,588987311,588987325,14
330,588987484,588987498,14
331,588987656,588987671,15
332,588987827,588987841,14
333,588988000,588988014,14
334,588988172,588988186,14
335,588988345,588988360,15
336,588988518,588988532,14
337,588988691,588988705,14
338,588988863,588988878,15
339,588989036,588989050,14
340,588989209,588989224,15
341,588989381,588989396,15
342,588989554,588989569,15
343,588989727,588989741,14
344,588989900,588989914,14
345,588990073,588990086,13
346,588990245,588990259,14
347,588990418,588990432,14
348,588990590,588990604,14
349,588990763,588990777,14
350,588990935,588990949,14
351,588991108,588991122,14
352,588991280,588991295,15
353,588991453,588991467,14
354,588991625,588991639,14
355,588991799,588991814,15
356,588991971,588991985,14
357,588992144,588992158,14
358,588992318,588992332,14
359,588992490,588992505,15
360,588992663,588992677,14
361,588992836,588992850,14
362,588993008,588993022,14
363,588993180,588993195,15
364,588993352,588993366,14
365,588993526,588993540,14
366,588993698,588993712,14
367,588993870,588993885,15
368,588994043,588994057,14
369,588994216,588994230,14
370,588994389,588994402,13
371,588994562,588994577,15
372,588994734,588994748,14
373,588994907,588994921,14
374,588995079,588995093,14
375,588995252,588995266,14
376,588995424,588995438,14
377,588995596,588995610,14
378,588995769,588995783,14
379,588995942,588995956,14
380,588996114,588996128,14
381,588996287,588996302,15
382,588996460,588996474,14
383,588996632,588996647,15
384,588996804,588996819,15
385,588996977,588996991,14
386,588997150,588997164,14
