iteration,before,after,diff
0,9003520,9003732,212, 0
1,9014452,9014496,44, 0
2,9014862,9014890,28, 0
3,9015144,9015172,28, 0
4,9015404,9015431,27, 0
5,9015655,9015682,27, 0
6,9015908,9015935,27, 0
7,9016155,9016182,27, 0
8,9016407,9016435,28, 0
9,9016658,9016685,27, 0
10,9016908,9016935,27, 0
11,9017188,9017215,27, 0
12,9017439,9017466,27, 0
13,9017689,9017716,27, 0
14,9017941,9017968,27, 0
15,9018192,9018219,27, 0
16,9018443,9018471,28, 0
17,9018693,9018721,28, 0
18,9018945,9018973,28, 0
19,9019197,9019224,27, 0
20,9019448,9019476,28, 0
21,9019700,9019727,27, 0
22,9019951,9019978,27, 0
23,9020203,9020230,27, 0
24,9020453,9020481,28, 0
25,9020704,9020733,29, 0
26,9020957,9020984,27, 0
27,9021209,9021236,27, 0
28,9021460,9021487,27, 0
29,9021711,9021738,27, 0
30,9021962,9021990,28, 0
31,9022213,9022241,28, 0
32,9022465,9022494,29, 0
33,9022716,9022745,29, 0
34,9022968,9022995,27, 0
35,9023219,9023246,27, 0
36,9023471,9023499,28, 0
37,9023723,9023750,27, 0
38,9023974,9024002,28, 0
39,9024226,9024253,27, 0
40,9024477,9024504,27, 0
41,9024728,9024756,28, 0
42,9024980,9025007,27, 0
43,9025231,9025258,27, 0
44,9025483,9025510,27, 0
45,9025733,9025762,29, 0
46,9025986,9026013,27, 0
47,9026237,9026264,27, 0
48,9026489,9026517,28, 0
49,9026741,9026769,28, 0
50,9026993,9027020,27, 0
51,9027245,9027271,26, 0
52,9027496,9027525,29, 0
53,9027748,9027775,27, 0
54,9028000,9028028,28, 0
55,9028251,9028279,28, 0
56,9028504,9028531,27, 0
57,9028756,9028784,28, 0
58,9029008,9029035,27, 0
59,9029260,9029287,27, 0
60,9029511,9029538,27, 0
61,9029779,9029807,28, 0
62,9030030,9030059,29, 0
63,9030283,9030311,28, 0
64,9030535,9030562,27, 0
65,9030787,9030814,27, 0
66,9031038,9031066,28, 0
67,9031289,9031316,27, 0
68,9031540,9031567,27, 0
69,9031790,9031818,28, 0
70,9032042,9032069,27, 0
71,9032292,9032319,27, 0
72,9032544,9032570,26, 0
73,9032795,9032823,28, 0
74,9033047,9033074,27, 0
75,9033297,9033325,28, 0
76,9033548,9033576,28, 0
77,9033799,9033826,27, 0
78,9034051,9034078,27, 0
79,9034301,9034328,27, 0
80,9034551,9034578,27, 0
81,9034801,9034829,28, 0
82,9035052,9035080,28, 0
83,9035303,9035330,27, 0
84,9035554,9035582,28, 0
85,9035804,9035833,29, 0
86,9036056,9036083,27, 0
87,9036306,9036333,27, 0
88,9036556,9036583,27, 0
89,9036806,9036833,27, 0
90,9037057,9037085,28, 0
91,9037307,9037335,28, 0
92,9037557,9037586,29, 0
93,9037807,9037834,27, 0
94,9038057,9038085,28, 0
95,9038308,9038335,27, 0
96,9038558,9038585,27, 0
97,9038808,9038835,27, 0
98,9039058,9039085,27, 0
99,9039316,9039344,28, 0
100,9039567,9039595,28, 0
101,9039838,9039866,28, 0
102,9040090,9040117,27, 0
103,9040341,9040368,27, 0
104,9040591,9040619,28, 0
105,9040842,9040870,28, 0
106,9041093,9041120,27, 0
107,9041343,9041371,28, 0
108,9041595,9041623,28, 0
109,9041845,9041873,28, 0
110,9042096,9042123,27, 0
111,9042347,9042375,28, 0
112,9042597,9042625,28, 0
113,9042848,9042876,28, 0
114,9043099,9043126,27, 0
115,9043349,9043376,27, 0
116,9043599,9043627,28, 0
117,9043851,9043879,28, 0
118,9044101,9044129,28, 0
119,9044352,9044380,28, 0
120,9044602,9044630,28, 0
121,9044853,9044881,28, 0
122,9045104,9045131,27, 0
123,9045354,9045381,27, 0
124,9045604,9045632,28, 0
125,9045859,9045886,27, 0
126,9046110,9046137,27, 0
127,9046360,9046387,27, 0
128,9046611,9046638,27, 0
129,9046863,9046889,26, 0
130,9047113,9047140,27, 0
131,9047363,9047390,27, 0
132,9047613,9047641,28, 0
133,9047866,9047893,27, 0
134,9048117,9048145,28, 0
135,9048369,9048395,26, 0
136,9048619,9048646,27, 0
137,9048870,9048897,27, 0
138,9049121,9049149,28, 0
139,9049371,9049398,27, 0
140,9049622,9049650,28, 0
141,9049873,9049900,27, 0
142,9050125,9050151,26, 0
143,9050375,9050404,29, 0
144,9050627,9050655,28, 0
145,9050877,9050905,28, 0
146,9051130,9051157,27, 0
147,9051380,9051407,27, 0
148,9051631,9051659,28, 0
149,9051883,9051910,27, 0
150,9052133,9052161,28, 0
151,9052385,9052413,28, 0
152,9052636,9052663,27, 0
153,9052887,9052915,28, 0
154,9053138,9053166,28, 0
155,9053389,9053417,28, 0
156,9053640,9053669,29, 0
157,9053892,9053919,27, 0
158,9054142,9054170,28, 0
159,9054394,9054422,28, 0
160,9054645,9054673,28, 0
161,9065188,9065223,35, 0
162,9065475,9065502,27, 0
163,9065736,9065765,29, 0
164,9065998,9066027,29, 0
165,9066256,9066285,29, 0
166,9066511,9066539,28, 0
167,9066763,9066792,29, 0
168,9067016,9067045,29, 0
169,9067268,9067297,29, 0
170,9067523,9067550,27, 0
171,9067775,9067803,28, 0
172,9068029,9068057,28, 0
173,9068284,9068312,28, 0
174,9068538,9068566,28, 0
175,9068796,9068824,28, 0
176,9069049,9069077,28, 0
177,9069302,9069330,28, 0
178,9069554,9069582,28, 0
179,9069807,9069835,28, 0
180,9070060,9070087,27, 0
181,9070311,9070339,28, 0
182,9070563,9070591,28, 0
183,9070816,9070843,27, 0
184,9071069,9071096,27, 0
185,9071320,9071348,28, 0
186,9071573,9071600,27, 0
187,9071825,9071852,27, 0
188,9072078,9072105,27, 0
189,9072330,9072357,27, 0
190,9072582,9072609,27, 0
191,9072835,9072862,27, 0
192,9073086,9073114,28, 0
193,9073339,9073366,27, 0
194,9073591,9073618,27, 0
195,9073842,9073870,28, 0
196,9074095,9074123,28, 0
197,9074347,9074374,27, 0
198,9074599,9074627,28, 0
199,9074852,9074879,27, 0
200,9075104,9075131,27, 0
201,9075356,9075383,27, 0
202,9075607,9075635,28, 0
203,9075859,9075887,28, 0
204,9076111,9076138,27, 0
205,9076361,9076389,28, 0
206,9076613,9076640,27, 0
207,9076863,9076890,27, 0
208,9077114,9077142,28, 0
209,9077365,9077393,28, 0
210,9077616,9077643,27, 0
211,9077868,9077895,27, 0
212,9078118,9078146,28, 0
213,9078370,9078397,27, 0
214,9078623,9078651,28, 0
215,9078875,9078902,27, 0
216,9079126,9079152,26, 0
217,9079385,9079413,28, 0
218,9079636,9079664,28, 0
219,9079887,9079915,28, 0
220,9080138,9080166,28, 0
221,9080393,9080421,28, 0
222,9080645,9080673,28, 0
223,9080896,9080924,28, 0
224,9081147,9081175,28, 0
225,9081399,9081427,28, 0
226,9081650,9081677,27, 0
227,9081901,9081929,28, 0
228,9082153,9082180,27, 0
229,9082403,9082432,29, 0
230,9082655,9082683,28, 0
231,9082906,9082934,28, 0
232,9083159,9083186,27, 0
233,9083419,9083447,28, 0
234,9083670,9083698,28, 0
235,9083922,9083949,27, 0
236,9084172,9084200,28, 0
237,9084424,9084451,27, 0
238,9084675,9084702,27, 0
239,9084926,9084953,27, 0
240,9085178,9085205,27, 0
241,9085429,9085458,29, 0
242,9085681,9085708,27, 0
243,9085932,9085960,28, 0
244,9086184,9086211,27, 0
245,9086435,9086463,28, 0
246,9086687,9086715,28, 0
247,9086939,9086966,27, 0
248,9087190,9087217,27, 0
249,9087450,9087478,28, 0
250,9087703,9087730,27, 0
251,9087953,9087981,28, 0
252,9088205,9088233,28, 0
253,9088457,9088484,27, 0
254,9088709,9088737,28, 0
255,9088960,9088988,28, 0
256,9089212,9089240,28, 0
257,9089465,9089492,27, 0
258,9089716,9089744,28, 0
259,9089968,9089996,28, 0
260,9090219,9090247,28, 0
261,9090471,9090499,28, 0
262,9090724,9090751,27, 0
263,9090975,9091003,28, 0
264,9091227,9091255,28, 0
265,9091487,9091516,29, 0
266,9091740,9091768,28, 0
267,9091991,9092020,29, 0
268,9092246,9092274,28, 0
269,9092497,9092524,27, 0
270,9092749,9092777,28, 0
271,9093001,9093028,27, 0
272,9093253,9093280,27, 0
273,9093505,9093533,28, 0
274,9093757,9093785,28, 0
275,9094009,9094036,27, 0
276,9094261,9094289,28, 0
277,9094513,9094540,27, 0
278,9094766,9094793,27, 0
279,9095016,9095045,29, 0
280,9095269,9095296,27, 0
281,9095529,9095557,28, 0
282,9095781,9095809,28, 0
283,9096035,9096062,27, 0
284,9096285,9096314,29, 0
285,9096538,9096565,27, 0
286,9096790,9096818,28, 0
287,9097041,9097068,27, 0
288,9097292,9097320,28, 0
289,9097544,9097572,28, 0
290,9097796,9097824,28, 0
291,9098047,9098074,27, 0
292,9098300,9098327,27, 0
293,9098551,9098578,27, 0
294,9098803,9098831,28, 0
295,9099055,9099083,28, 0
296,9099307,9099335,28, 0
297,9099559,9099586,27, 0
298,9099810,9099838,28, 0
299,9100062,9100089,27, 0
300,9100313,9100340,27, 0
301,9100565,9100592,27, 0
302,9100815,9100842,27, 0
303,9101068,9101095,27, 0
304,9101318,9101345,27, 0
305,9101570,9101598,28, 0
306,9101821,9101848,27, 0
307,9102072,9102100,28, 0
308,9102323,9102351,28, 0
309,9102575,9102602,27, 0
310,9102825,9102854,29, 0
311,9103077,9103104,27, 0
312,9103328,9103356,28, 0
313,9103580,9103607,27, 0
314,9103840,9103867,27, 0
315,9104091,9104119,28, 0
316,9104342,9104369,27, 0
