iteration,before,after,diff
0,61642407,61646161,3754
1,61651167,61652274,1107
2,61652516,61653415,899
3,61653617,61654480,863
4,61654669,61655513,844
5,61655672,61656514,842
6,61656673,61657516,843
7,61657676,61658520,844
8,61658684,61659530,846
9,61659687,61660528,841
10,61660685,61661526,841
11,61661719,61662563,844
12,61662723,61663565,842
13,61663727,61664567,840
14,61664729,61665570,841
15,61665729,61666572,843
16,61666737,61667580,843
17,61667742,61668581,839
18,61668743,61669585,842
19,61669745,61670585,840
20,61670746,61671590,844
21,61671754,61672599,845
22,61672760,61673602,842
23,61673767,61674610,843
24,61674766,61675611,845
25,61675769,61676612,843
26,61676770,61677614,844
27,61677775,61678622,847
28,61678779,61679626,847
29,61679785,61680628,843
30,61680789,61681634,845
31,61681793,61682639,846
32,61682797,61683642,845
33,61683801,61684645,844
34,61684804,61685648,844
35,61685810,61686653,843
36,61686817,61687662,845
37,61687827,61688669,842
38,61688833,61689673,840
39,61689833,61690678,845
40,61690839,61691683,844
41,61691845,61692688,843
42,61692847,61693720,873
43,61693883,61696218,2335
44,61696411,61697257,846
45,61697418,61698260,842
46,61698420,61699268,848
47,61699429,61700272,843
48,61700431,61701277,846
49,61701435,61702280,845
50,61702441,61703288,847
51,61703450,61704297,847
52,61704457,61705304,847
53,61705464,61706311,847
54,61706469,61707315,846
55,61707477,61708322,845
56,61708484,61709331,847
57,61709490,61710337,847
58,61710499,61711346,847
59,61711510,61712356,846
60,61712517,61713363,846
61,61713524,61714370,846
62,61714533,61715380,847
63,61715539,61716385,846
64,61716547,61717392,845
65,61717552,61718401,849
66,61718562,61719409,847
67,61719566,61720415,849
68,61720572,61721418,846
69,61721580,61722427,847
70,61722589,61723436,847
71,61723598,61724445,847
72,61724603,61725448,845
73,61725604,61726452,848
74,61726609,61727453,844
75,61727615,61728461,846
76,61728619,61729465,846
77,61729623,61730468,845
78,61730626,61731471,845
79,61731629,61732473,844
80,61732630,61733475,845
81,61733636,61734483,847
82,61734642,61735487,845
83,61735645,61736490,845
84,61736646,61737489,843
85,61737647,61738492,845
86,61738650,61739497,847
87,61739652,61740499,847
88,61740655,61741502,847
89,61741662,61742511,849
90,61742669,61743515,846
91,61743672,61744518,846
92,61744673,61745523,850
93,61745684,61746532,848
94,61746691,61749076,2385
95,61749252,61750102,850
96,61750265,61751113,848
97,61751274,61752122,848
98,61752281,61753129,848
99,61753287,61754133,846
100,61754292,61755143,851
101,61755328,61756176,848
102,61756341,61757189,848
