iteration,before,after,diff
0,59720582,59721342,760
1,59726576,59727089,513
2,59727319,59727822,503
3,59727979,59728483,504
4,59728639,59729142,503
5,59729300,59729803,503
6,59729961,59730464,503
7,59730621,59731124,503
8,59731282,59731784,502
9,59731939,59732443,504
10,59732598,59733104,506
11,59733280,59733783,503
12,59733948,59734449,501
13,59734612,59735118,506
14,59735275,59735777,502
15,59735935,59736437,502
16,59736595,59737098,503
17,59737256,59737758,502
18,59737915,59738418,503
19,59738576,59739077,501
20,59739235,59739737,502
21,59739895,59740398,503
22,59740556,59741056,500
23,59741213,59741716,503
24,59741873,59742374,501
25,59742531,59743035,504
26,59743191,59743694,503
27,59743851,59744352,501
28,59744511,59745013,502
29,59745171,59745671,500
30,59745827,59746329,502
31,59746485,59746987,502
32,59747145,59747645,500
33,59747802,59748302,500
34,59748459,59748962,503
35,59749118,59749619,501
36,59749776,59750279,503
37,59750436,59750938,502
38,59751096,59751595,499
39,59751755,59752257,502
40,59752415,59752917,502
41,59753074,59753574,500
42,59753732,59754234,502
43,59754392,59754894,502
44,59755051,59755555,504
45,59755712,59756214,502
46,59756372,59756873,501
47,59757030,59757537,507
48,59757694,59758198,504
49,59758354,59758856,502
50,59759015,59759518,503
51,59759675,59760180,505
52,59760338,59760840,502
53,59760998,59761501,503
54,59761659,59762160,501
55,59762318,59762822,504
56,59762980,59763484,504
57,59763641,59764145,504
58,59764302,59764807,505
59,59764964,59765466,502
60,59765624,59766127,503
61,59766286,59766789,503
62,59766945,59767447,502
63,59767605,59768108,503
64,59768265,59768770,505
65,59768927,59769429,502
66,59769587,59770090,503
67,59770248,59770750,502
68,59770907,59771410,503
69,59771567,59772071,504
70,59772227,59772730,503
71,59772887,59773390,503
72,59773547,59774049,502
73,59774206,59774705,499
74,59774863,59775365,502
75,59775521,59776024,503
76,59776181,59776684,503
77,59776841,59777342,501
78,59777499,59777999,500
79,59778156,59778657,501
80,59778814,59779316,502
81,59779473,59779974,501
82,59780131,59780632,501
83,59780790,59781290,500
84,59781448,59781950,502
85,59782107,59782610,503
86,59782766,59783266,500
87,59783423,59783925,502
88,59784083,59784585,502
89,59784741,59785243,502
90,59785400,59785903,503
91,59786060,59786563,503
92,59786719,59787224,505
93,59787380,59787883,503
94,59788040,59788541,501
95,59788699,59789201,502
96,59789358,59789862,504
97,59790019,59790523,504
98,59790681,59791184,503
99,59791341,59791845,504
100,59792001,59792505,504
101,59792679,59793184,505
102,59793341,59793846,505
103,59794003,59794509,506
104,59794666,59795167,501
105,59795325,59795829,504
106,59795986,59796490,504
107,59796647,59797152,505
108,59797310,59797813,503
109,59797972,59798475,503
110,59798633,59799138,505
111,59799296,59799801,505
112,59799959,59800460,501
113,59800618,59801119,501
114,59801277,59801780,503
115,59801938,59802440,502
116,59802599,59803100,501
117,59803258,59803760,502
118,59803918,59804423,505
119,59804581,59805084,503
120,59805243,59805742,499
121,59805900,59806401,501
122,59806559,59807061,502
123,59807218,59807720,502
124,59807878,59808380,502
125,59808538,59809040,502
126,59809198,59809697,499
127,59809855,59810361,506
128,59810519,59811018,499
129,59811176,59811676,500
130,59811833,59812335,502
131,59812492,59812994,502
132,59813152,59813654,502
133,59813813,59814314,501
134,59814472,59814972,500
135,59815130,59815633,503
136,59815791,59816291,500
137,59816450,59816953,503
138,59817111,59817614,503
139,59817772,59818273,501
140,59818431,59818934,503
141,59819093,59819595,502
142,59819753,59820254,501
143,59820412,59820915,503
144,59821074,59821575,501
145,59821732,59822234,502
146,59822392,59822896,504
147,59823054,59823555,501
148,59823714,59824217,503
149,59824375,59824878,503
150,59825036,59825543,507
151,59825700,59826205,505
152,59826363,59826865,502
153,59827022,59827525,503
