iteration,before,after,diff
0,614139337,614143903,4566
1,614155821,614156707,886
2,614157192,614158042,850
3,614158332,614159175,843
4,614159445,614160289,844
5,614160551,614161396,845
6,614161655,614162505,850
7,614162766,614163611,845
8,614163874,614164716,842
9,614164979,614165820,841
10,614166090,614166932,842
11,614167233,614168081,848
12,614168344,614169189,845
13,614169453,614170302,849
14,614170566,614171412,846
15,614171678,614172524,846
16,614172790,614173636,846
17,614173902,614174751,849
18,614175019,614175866,847
19,614176131,614176973,842
20,614177238,614178088,850
21,614178353,614179197,844
22,614179464,614180313,849
23,614180577,614181420,843
24,614181686,614182534,848
25,614182799,614183641,842
26,614183906,614184755,849
27,614185020,614185865,845
28,614186130,614186973,843
29,614187239,614188084,845
30,614188347,614189189,842
31,614189452,614190297,845
32,614190564,614191410,846
33,614191674,614192520,846
34,614192784,614193632,848
35,614193895,614194742,847
36,614195007,614195848,841
37,614196115,614196965,850
38,614197230,614198077,847
39,614198343,614199188,845
40,614199453,614200304,851
41,614200568,614201419,851
42,614201686,614202531,845
43,614202797,614203643,846
44,614203909,614204757,848
45,614205022,614205868,846
46,614206134,614206981,847
47,614207248,614208099,851
48,614208364,614209213,849
49,614209478,614210326,848
50,614210590,614211436,846
51,614211701,614212546,845
52,614212812,614213659,847
53,614213925,614214768,843
54,614215034,614215880,846
55,614216145,614216990,845
56,614217255,614218103,848
57,614218368,614219218,850
58,614219482,614220331,849
59,614220595,614221440,845
60,614221704,614222546,842
61,614222810,614223653,843
62,614223919,614224766,847
63,614225031,614225876,845
64,614226140,614226983,843
65,614227246,614228093,847
66,614228357,614229201,844
67,614229466,614230310,844
68,614230576,614231421,845
69,614231688,614232535,847
70,614232800,614233651,851
71,614233914,614234767,853
72,614235031,614235880,849
73,614236145,614236993,848
74,614237264,614238111,847
75,614238377,614239224,847
76,614239489,614240337,848
77,614240604,614241449,845
78,614241715,614242567,852
79,614242831,614243676,845
80,614243939,614244786,847
81,614245078,614245925,847
82,614246220,614247070,850
83,614247337,614248181,844
84,614248446,614249292,846
85,614249558,614250403,845
86,614250667,614251509,842
87,614251773,614252619,846
88,614252884,614253726,842
89,614253990,614254834,844
90,614255097,614255949,852
91,614256214,614257059,845
92,614257323,614258164,841
93,614258431,614259280,849
94,614259545,614260388,843
95,614260654,614261499,845
96,614261763,614262609,846
97,614262875,614263724,849
98,614263989,614264836,847
99,614265104,614265943,839
100,614266209,614267054,845
101,614267351,614268199,848
102,614268466,614269311,845
103,614269578,614270423,845
104,614270690,614271538,848
105,614271805,614272652,847
106,614272919,614273766,847
107,614274033,614274879,846
108,614275146,614275993,847
109,614276260,614277107,847
